authenticated,channel,criterion,method,n_scenes,operable_fraction,sd_over_scenes
False,bursty,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a,20,0.1025,0.08955298343497699
False,bursty,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a-R,20,0.5362500000000001,0.24861127446170594
False,bursty,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0d,19,0.4348684210526315,0.0796671621507017
False,bursty,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B1,20,0.095625,0.08943122541342798
False,bursty,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B2,20,0.09375000000000001,0.08768776845627961
True,bursty,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B3,20,0.62625,0.12036813050847497
True,bursty,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B4,19,0.4296052631578947,0.08027843541688176
True,bursty,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),P,19,0.35573308270676696,0.08659963342376208
False,clean,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a,20,1.0,0.0
False,clean,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a-R,20,1.0,0.0
False,clean,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0d,19,1.0,0.0
False,clean,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B1,20,1.0,0.0
False,clean,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B2,20,1.0,0.0
True,clean,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B3,20,1.0,0.0
True,clean,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B4,19,1.0,0.0
True,clean,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),P,19,0.9572368421052632,0.18640028376983142
False,harsh,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a,20,0.0175,0.02272547839806794
False,harsh,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a-R,20,0.3325,0.31571764533986274
False,harsh,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0d,19,0.0,0.0
False,harsh,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B1,20,0.00625,0.01647366319151173
False,harsh,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B2,20,0.00625,0.01596665934146263
True,harsh,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B3,20,0.0,0.0
True,harsh,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B4,19,0.0,0.0
True,harsh,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),P,19,0.0,0.0
False,mild,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a,20,0.999375,0.0027950849718747276
False,mild,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a-R,20,1.0,0.0
False,mild,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0d,19,1.0,0.0
False,mild,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B1,20,0.999375,0.0027950849718747276
False,mild,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B2,20,0.999375,0.0027950849718747276
True,mild,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B3,20,1.0,0.0
True,mild,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B4,19,1.0,0.0
True,mild,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),P,19,0.9572368421052632,0.18640028376983142
False,moderate,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a,20,0.7150000000000001,0.31684090312763735
False,moderate,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a-R,20,0.8825000000000001,0.30841807749597916
False,moderate,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0d,19,0.7526315789473683,0.07331189878133
False,moderate,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B1,20,0.639375,0.3623814461310071
False,moderate,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B2,20,0.6337499999999999,0.363668714918573
True,moderate,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B3,20,0.79,0.09420721840708386
True,moderate,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B4,19,0.6980263157894738,0.06183860572405184
True,moderate,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),P,19,0.7795112781954888,0.1621249470269835
